word,type,definition
"A ",""," The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols."
"A ",""," The name of the sixth tone in the model major scale (that in C), or the first tone of the minor scale, which is named after it the scale in A minor. The second string of the violin is tuned to the A in the treble staff. -- A sharp (A/) is the name of a musical tone intermediate between A and B. -- A flat (A/) is the name of a tone intermediate between A and G."
"A ",""," An adjective, commonly called the indefinite article, and signifying one or any, but less emphatically."
"A ",""," In each; to or for each; as, ''twenty leagues a day'', ''a hundred pounds a year'', ''a dollar a yard'', etc."
"A ","prep."," In; on; at; by."
"A ","prep."," In process of; in the act of; into; to; -- used with verbal substantives in -ing which begin with a consonant. This is a shortened form of the preposition an (which was used before the vowel sound); as in a hunting, a building, a begging."
"A ",""," Of."
"A ",""," A barbarous corruption of have, of he, and sometimes of it and of they."
"A ",""," An expletive, void of sense, to fill up the meter"
"A- ",""," A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to E. un-."
"A 1 ",""," A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3."
"AAM ","n."," A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4."
"AARD-VARK ","n."," An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."
"AARD-WOLF ","n."," A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
"AARONIC ","a."," Alt. of Aaronical"
"AARONICAL ","a."," Pertaining to Aaron, the first high priest of the Jews."
"AARON'S ROD ",""," A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
"AARON'S ROD ",""," A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod."
"AB- ",""," A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
"AB ","n."," The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
"ABACA ","n."," The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
"ABACINATE ","v. t."," To blind by a red-hot metal plate held before the eyes."
"ABACINATION ","n."," The act of abacinating."
"ABACISCUS ","n."," One of the tiles or squares of a tessellated pavement; an abaculus."
"ABACIST ","n."," One who uses an abacus in casting accounts; a calculator."
"ABACK ","adv."," Toward the back or rear; backward."
"ABACK ","adv."," Behind; in the rear."
"ABACK ","adv."," Backward against the mast; -- said of the sails when pressed by the wind."
"ABACK ","n."," An abacus."
"ABACTINAL ","a."," Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal."
"ABACTION ","n."," Stealing cattle on a large scale."
"ABACTOR ","n."," One who steals and drives away cattle or beasts by herds or droves."
"ABACULI ","pl. "," of Abaculus"
"ABACULUS ","n."," A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
"ABACUSES ","pl. "," of Abacus"
"ABACI ","pl. "," of Abacus"
"ABACUS ","n."," A table or tray strewn with sand, anciently used for drawing, calculating, etc."
"ABACUS ","n."," A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China."
"ABACUS ","n."," The uppermost member or division of the capital of a column, immediately under the architrave. See Column."
"ABACUS ","n."," A tablet, panel, or compartment in ornamented or mosaic work."
"ABACUS ","n."," A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."
"ABADA ","n."," The rhinoceros."
"ABADDON ","n."," The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
"ABADDON ","n."," Hell; the bottomless pit."
"ABAFT ","prep."," Behind; toward the stern from; as, abaft the wheelhouse."
"ABAFT ","adv."," Toward the stern; aft; as, to go abaft."
"ABAISANCE ","n."," Obeisance."
"ABAISER ","n."," Ivory black or animal charcoal."
"ABAIST ","p. p."," Abashed; confounded; discomfited."
"ABALIENATE ","v. t."," To transfer the title of from one to another; to alienate."
"ABALIENATE ","v. t."," To estrange; to withdraw."
"ABALIENATE ","v. t."," To cause alienation of (mind)."
"ABALIENATION ","n."," The act of abalienating; alienation; estrangement."
"ABALONE ","n."," A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks."
"ABAND ","v. t."," To abandon."
"ABAND ","v. t."," To banish; to expel."
"ABANDONED ","imp. & p. p."," of Abandon"
"ABANDONING ","p. pr. & vb. n."," of Abandon"
"ABANDON ","v. t."," To cast or drive out; to banish; to expel; to reject."
"ABANDON ","v. t."," To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender."
"ABANDON ","v. t."," Reflexively: To give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense."
"ABANDON ","v. t."," To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against."
"ABANDON ","v."," Abandonment; relinquishment."
"ABANDON ","n."," A complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease."
"ABANDONED ","a."," Forsaken, deserted."
"ABANDONED ","a."," Self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain."
"ABANDONEDLY ","adv."," Unrestrainedly."
"ABANDONEE ","n."," One to whom anything is legally abandoned."
"ABANDONER ","n."," One who abandons."
"ABANDONMENT ","n."," The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
"ABANDONMENT ","n."," The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against."
"ABANDONMENT ","n."," The relinquishment of a right, claim, or privilege, as to mill site, etc."
"ABANDONMENT ","n."," The voluntary leaving of a person to whom one is bound by a special relation, as a wife, husband, or child; desertion."
"ABANDONMENT ","n."," Careless freedom or ease; abandon."
"ABANDUM ","n."," Anything forfeited or confiscated."
"ABANET ","n."," See Abnet."
"ABANGA ","n."," A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
"ABANNATION ","n."," Alt. of Abannition"
"ABANNITION ","n."," Banishment."
"ABARTICULATION ","n."," Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
"ABASED ","imp. & p. p."," of Abase"
"ABASING ","p. pr. & vb. n."," of Abase"
"ABASE ","a."," To lower or depress; to throw or cast down; as, to abase the eye."
"ABASE ","a."," To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
"ABASED ","a."," Lowered; humbled."
"ABASED ","a."," Borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield."
"ABASEDLY ","adv."," Abjectly; downcastly."
"ABASEMENT ","n."," The act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation."
"ABASER ","n."," He who, or that which, abases."
"ABASHED ","imp. & p. p."," of Abash"
"ABASHING ","p. pr. & vb. n."," of Abash"
"ABASH ","v. t."," To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
"ABASHEDLY ","adv."," In an abashed manner."
"ABASHMENT ","n."," The state of being abashed; confusion from shame."
"ABASSI ","n."," Alt. of Abassis"
"ABASSIS ","n."," A silver coin of Persia, worth about twenty cents."
"ABATABLE ","a."," Capable of being abated; as, an abatable writ or nuisance."
"ABATED ","imp. & p. p."," of Abate"
"ABATING ","p. pr. & vb. n."," of Abate"
"ABATE ","v. t."," To beat down; to overthrow."
"ABATE ","v. t."," To bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope."
"ABATE ","v. t."," To deduct; to omit; as, to abate something from a price."
"ABATE ","v. t."," To blunt."
"ABATE ","v. t."," To reduce in estimation; to deprive."
"ABATE ","v. t."," To bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ."
"ABATE ","v. t."," To diminish; to reduce. Legacies are liable to be abated entirely or in proportion, upon a deficiency of assets."
"ABATE ","v. t."," To decrease, or become less in strength or violence; as, pain abates, a storm abates."
"ABATE ","v. t."," To be defeated, or come to naught; to fall through; to fail; as, a writ abates."
"ABATE ","n."," Abatement."
"ABATEMENT ","n."," The act of abating, or the state of being abated; a lessening, diminution, or reduction; removal or putting an end to; as, the abatement of a nuisance is the suppression thereof."
"ABATEMENT ","n."," The amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed."
"ABATEMENT ","n."," A mark of dishonor on an escutcheon."
"ABATEMENT ","n."," The entry of a stranger, without right, into a freehold after the death of the last possessor, before the heir or devisee."
"ABATER ","n."," One who, or that which, abates."
"ABATIS ","n."," Alt. of Abattis"
"ABATTIS ","n."," A means of defense formed by felled trees, the ends of whose branches are sharpened and directed outwards, or against the enemy."
"ABATISED ","a."," Provided with an abatis."
"ABATOR ","n."," One who abates a nuisance."
"ABATOR ","n."," A person who, without right, enters into a freehold on the death of the last possessor, before the heir or devisee."
"ABATTOIRS ","pl. "," of Abattoir"
"ABATTOIR ","n."," A public slaughterhouse for cattle, sheep, etc."
"ABATURE ","n."," Grass and sprigs beaten or trampled down by a stag passing through them."
"ABATVOIX ","n."," The sounding-board over a pulpit or rostrum."
"ABAWED ","p. p."," Astonished; abashed."
"ABAXIAL ","a."," Alt. of Abaxile"
"ABAXILE ","a."," Away from the axis or central line; eccentric."
"ABAY ","n."," Barking; baying of dogs upon their prey. See Bay."
"ABB ","n."," Among weavers, yarn for the warp. Hence, abb wool is wool for the abb."
"ABBA ","n."," Father; religious superior; -- in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch."
"ABBACIES ","pl. "," of Abbacy"
"ABBACY ","n."," The dignity, estate, or jurisdiction of an abbot."
"ABBATIAL ","a."," Belonging to an abbey; as, abbatial rights."
"ABBATICAL ","a."," Abbatial."
"ABBE ","n."," The French word answering to the English abbot, the head of an abbey; but commonly a title of respect given in France to every one vested with the ecclesiastical habit or dress."
"ABBESS ","n."," A female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks. See Abbey."
"ABBEYS ","pl. "," of Abbey"
"ABBEY ","n."," A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings."
"ABBEY ","n."," The church of a monastery."
"ABBOT ","n."," The superior or head of an abbey."
"ABBOT ","n."," One of a class of bishops whose sees were formerly abbeys."
"ABBOTSHIP ","n."," The state or office of an abbot."
"ABBREVIATED ","imp. & p. p."," of Abbreviate"
"ABBREVIATING ","p. pr. & vb. n."," of Abbreviate"
"ABBREVIATE ","v. t."," To make briefer; to shorten; to abridge; to reduce by contraction or omission, especially of words written or spoken."
"ABBREVIATE ","v. t."," To reduce to lower terms, as a fraction."
"ABBREVIATE ","a."," Abbreviated; abridged; shortened."
"ABBREVIATE ","a."," Having one part relatively shorter than another or than the ordinary type."
"ABBREVIATE ","n."," An abridgment."
"ABBREVIATED ","a."," Shortened; relatively short; abbreviate."
"ABBREVIATION ","n."," The act of shortening, or reducing."
"ABBREVIATION ","n."," The result of abbreviating; an abridgment."
"ABBREVIATION ","n."," The form to which a word or phrase is reduced by contraction and omission; a letter or letters, standing for a word or phrase of which they are a part; as, Gen. for Genesis; U.S.A. for United States of America."
"ABBREVIATION ","n."," One dash, or more, through the stem of a note, dividing it respectively into quavers, semiquavers, or demi-semiquavers."
"ABBREVIATOR ","n."," One who abbreviates or shortens."
"ABBREVIATOR ","n."," One of a college of seventy-two officers of the papal court whose duty is to make a short minute of a decision on a petition, or reply of the pope to a letter, and afterwards expand the minute into official form."
"ABBREVIATORY ","a."," Serving or tending to abbreviate; shortening; abridging."
"ABBREVIATURE ","n."," An abbreviation; an abbreviated state or form."
"ABBREVIATURE ","n."," An abridgment; a compendium or abstract."
"ABB WOOL ",""," See Abb."
"A B C ",""," The first three letters of the alphabet, used for the whole alphabet."
"A B C ",""," A primer for teaching the alphabet and first elements of reading."
"A B C ",""," The simplest rudiments of any subject; as, the A B C of finance."
"ABDAL ","n."," A religious devotee or dervish in Persia."
"ABDERIAN ","a."," Given to laughter; inclined to foolish or incessant merriment."
"ABDERITE ","n."," An inhabitant of Abdera, in Thrace."
"ABDEST ","n."," Purification by washing the hands before prayer; -- a Mohammedan rite."
"ABDICABLE ","a."," Capable of being abdicated."
"ABDICANT ","a."," Abdicating; renouncing; -- followed by of."
"ABDICANT ","n."," One who abdicates."
"ABDICATED ","imp. & p. p."," of Abdicate"
"ABDICATING ","p. pr. & vb. n."," of Abdicate"
"ABDICATE ","v. t."," To surrender or relinquish, as sovereign power; to withdraw definitely from filling or exercising, as a high office, station, dignity; as, to abdicate the throne, the crown, the papacy."
"ABDICATE ","v. t."," To renounce; to relinquish; -- said of authority, a trust, duty, right, etc."
"ABDICATE ","v. t."," To reject; to cast off."
"ABDICATE ","v. t."," To disclaim and expel from the family, as a father his child; to disown; to disinherit."
"ABDICATE ","v. i."," To relinquish or renounce a throne, or other high office or dignity."
"ABDICATION ","n."," The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority."
"ABDICATIVE ","a."," Causing, or implying, abdication."
"ABDICATOR ","n."," One who abdicates."
"ABDITIVE ","a."," Having the quality of hiding."
"ABDITORY ","n."," A place for hiding or preserving articles of value."
"ABDOMEN ","n."," The belly, or that part of the body between the thorax and the pelvis. Also, the cavity of the belly, which is lined by the peritoneum, and contains the stomach, bowels, and other viscera. In man, often restricted to the part between the diaphragm and the commencement of the pelvis, the remainder being called the pelvic cavity."
"ABDOMEN ","n."," The posterior section of the body, behind the thorax, in insects, crustaceans, and other Arthropoda."
"ABDOMINAL ","a."," Of or pertaining to the abdomen; ventral; as, the abdominal regions, muscles, cavity."
"ABDOMINAL ","a."," Having abdominal fins; belonging to the Abdominales; as, abdominal fishes."
"ABDOMINALS ","pl. "," of Abdominal"
"ABDOMINALES ","pl. "," of Abdominal"
"ABDOMINAL ","n."," A fish of the group Abdominales."
"ABDOMINALES ","n. pl."," A group including the greater part of fresh-water fishes, and many marine ones, having the ventral fins under the abdomen behind the pectorals."
"ABDOMINALIA ","n. pl."," A group of cirripeds having abdominal appendages."
"ABDOMINOSCOPY ","n."," Examination of the abdomen to detect abdominal disease."
"ABDOMINOTHORACIC ","a."," Relating to the abdomen and the thorax, or chest."
"ABDOMINOUS ","a."," Having a protuberant belly; pot-bellied."
"ABDUCED ","imp. & p. p."," of Abduce"
"ABDUCING ","p. pr. & vb. n."," of Abduce"
"ABDUCE ","v. t."," To draw or conduct away; to withdraw; to draw to a different part."
"ABDUCTED ","imp. & p. p."," of Abduct"
"ABDUCTING ","p. pr. & vb. n."," of Abduct"
"ABDUCT ","v. t."," To take away surreptitiously by force; to carry away (a human being) wrongfully and usually by violence; to kidnap."
"ABDUCT ","v. t."," To draw away, as a limb or other part, from its ordinary position."
"ABDUCTION ","n."," The act of abducing or abducting; a drawing apart; a carrying away."
"ABDUCTION ","n."," The movement which separates a limb or other part from the axis, or middle line, of the body."
"ABDUCTION ","n."," The wrongful, and usually the forcible, carrying off of a human being; as, the abduction of a child, the abduction of an heiress."
"ABDUCTION ","n."," A syllogism or form of argument in which the major is evident, but the minor is only probable."
"ABDUCTOR ","n."," One who abducts."
"ABDUCTOR ","n."," A muscle which serves to draw a part out, or form the median line of the body; as, the abductor oculi, which draws the eye outward."
"ABEAM ","adv."," On the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
"ABEAR ","v. t."," To bear; to behave."
"ABEAR ","v. t."," To put up with; to endure."
"ABEARANCE ","n."," Behavior."
"ABEARING ","n."," Behavior."
"ABECEDARIAN ","n."," One who is learning the alphabet; hence, a tyro."
"ABECEDARIAN ","n."," One engaged in teaching the alphabet."
"ABECEDARIAN ","a."," Alt. of Abecedary"
"ABECEDARY ","a."," Pertaining to, or formed by, the letters of the alphabet; alphabetic; hence, rudimentary."
"ABECEDARY ","n."," A primer; the first principle or rudiment of anything."
"ABED ","adv."," In bed, or on the bed."
"ABED ","adv."," To childbed (in the phrase ''brought abed,'' that is, delivered of a child)."
"ABEGGE ",""," Same as Aby."
"ABELE ","n."," The white poplar (Populus alba)."
"ABELIAN ","n."," Alt. of Abelonian"
"ABELITE ","n."," Alt. of Abelonian"
"ABELONIAN ","n."," One of a sect in Africa (4th century), mentioned by St. Augustine, who states that they married, but lived in continence, after the manner, as they pretended, of Abel."
"ABELMOSK ","n."," An evergreen shrub (Hibiscus -- formerly Abelmoschus -- moschatus), of the East and West Indies and Northern Africa, whose musky seeds are used in perfumery and to flavor coffee; -- sometimes called musk mallow."
"ABER-DE-VINE ","n."," The European siskin (Carduelis spinus), a small green and yellow finch, related to the goldfinch."
"ABERR ","v. i."," To wander; to stray."
"ABERRANCE ","n."," Alt. of Aberrancy"
"ABERRANCY ","n."," State of being aberrant; a wandering from the right way; deviation from truth, rectitude, etc."
"ABERRANT ","a."," Wandering; straying from the right way."
"ABERRANT ","a."," Deviating from the ordinary or natural type; exceptional; abnormal."
"ABERRATE ","v. i."," To go astray; to diverge."
"ABERRATION ","n."," The act of wandering; deviation, especially from truth or moral rectitude, from the natural state, or from a type."
"ABERRATION ","n."," A partial alienation of reason."
"ABERRATION ","n."," A small periodical change of position in the stars and other heavenly bodies, due to the combined effect of the motion of light and the motion of the observer; called annual aberration, when the observer's motion is that of the earth in its orbit, and daily or diurnal aberration, when of the earth on its axis; amounting when greatest, in the former case, to 20.4'', and in the latter, to 0.3''. Planetary aberration is that due to the motion of light and the motion of the planet relative to the earth."
"ABERRATION ","n."," The convergence to different foci, by a lens or mirror, of rays of light emanating from one and the same point, or the deviation of such rays from a single focus; called spherical aberration, when due to the spherical form of the lens or mirror, such form giving different foci for central and marginal rays; and chromatic aberration, when due to different refrangibilities of the colored rays of the spectrum, those of each color having a distinct focus."
"ABERRATION ","n."," The passage of blood or other fluid into parts not appropriate for it."
"ABERRATION ","n."," The producing of an unintended effect by the glancing of an instrument, as when a shot intended for A glances and strikes B."
"ABERRATIONAL ","a."," Characterized by aberration."
"ABERUNCATE ","v. t."," To weed out."
"ABERUNCATOR ","n."," A weeding machine."
"ABETTED ","imp. & p. p."," of Abet"
"ABETTING ","p. pr. & vb. n."," of Abet"
"ABET ","v. t."," To instigate or encourage by aid or countenance; -- used in a bad sense of persons and acts; as, to abet an ill-doer; to abet one in his wicked courses; to abet vice; to abet an insurrection."
"ABET ","v. t."," To support, uphold, or aid; to maintain; -- in a good sense."
"ABET ","v. t."," To contribute, as an assistant or instigator, to the commission of an offense."
"ABET ","n."," Act of abetting; aid."
"ABETMENT ","n."," The act of abetting; as, an abetment of treason, crime, etc."
"ABETTAL ","n."," Abetment."
"ABETTER ","n."," Alt. of Abettor"
"ABETTOR ","n."," One who abets; an instigator of an offense or an offender."
"ABEVACUATION ","n."," A partial evacuation."
"ABEYANCE ","n."," Expectancy; condition of being undetermined."
"ABEYANCE ","n."," Suspension; temporary suppression."
"ABEYANCY ","n."," Abeyance."
"ABEYANT ","a."," Being in a state of abeyance."
"ABHAL ","n."," The berries of a species of cypress in the East Indies."
"ABHOMINABLE ","a."," Abominable."
"ABHOMINAL ","a."," Inhuman."
"ABHORRED ","imp. & p. p."," of Abhor"
"ABHORRING ","p. pr. & vb. n."," of Abhor"
"ABHOR ","v. t."," To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe."
"ABHOR ","v. t."," To fill with horror or disgust."
"ABHOR ","v. t."," To protest against; to reject solemnly."
"ABHOR ","v. i."," To shrink back with horror, disgust, or dislike; to be contrary or averse; -- with"
"ABHORRENCE ","n."," Extreme hatred or detestation; the feeling of utter dislike."
"ABHORRENCY ","n."," Abhorrence."
"ABHORRENT ","a."," Abhorring; detesting; having or showing abhorrence; loathing; hence, strongly opposed to; as, abhorrent thoughts."
"ABHORRENT ","a."," Contrary or repugnant; discordant; inconsistent; -- followed by to."
"ABHORRENT ","a."," Detestable."
"ABHORRENTLY ","adv."," With abhorrence."
"ABHORRER ","n."," One who abhors."
"ABHORRIBLE ","a."," Detestable."
"ABHORRING ","n."," Detestation."
"ABHORRING ","n."," Object of abhorrence."
"ABIB ","n."," The first month of the Jewish ecclesiastical year, corresponding nearly to our April. After the Babylonish captivity this month was called Nisan."
"ABIDANCE ","n."," The state of abiding; abode; continuance; compliance (with)."
"ABODE ","imp. & p. p."," of Abide"
"ABID ",""," of Abide"
"ABIDING ","p. pr. & vb. n."," of Abide"
"ABIDE ","v. i."," To wait; to pause; to delay."
"ABIDE ","v. i."," To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person, and commonly with at or in before a place."
"ABIDE ","v. i."," To remain stable or fixed in some state or condition; to continue; to remain."
"ABIDE ","v. t."," To wait for; to be prepared for; to await; to watch for; as, I abide my time."
"ABIDE ","v. t."," To endure; to sustain; to submit to."
"ABIDE ","v. t."," To bear patiently; to tolerate; to put up with."
"ABIDE ","v. t."," To stand the consequences of; to answer for; to suffer for."
"ABIDER ","n."," One who abides, or continues."
"ABIDER ","n."," One who dwells; a resident."
"ABIDING ","a."," Continuing; lasting."
"ABIDINGLY ","adv."," Permanently."
"ABIES ","n."," A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
"ABIETENE ","n."," A volatile oil distilled from the resin or balsam of the nut pine (Pinus sabiniana) of California."
"ABIETIC ","a."," Of or pertaining to the fir tree or its products; as, abietic acid, called also sylvic acid."
"ABIETIN ","n."," Alt. of Abietine"
"ABIETINE ","n."," A resinous obtained from Strasburg turpentine or Canada balsam. It is without taste or smell, is insoluble in water, but soluble in alcohol (especially at the boiling point), in strong acetic acid, and in ether."
"ABIETINIC ","a."," Of or pertaining to abietin; as, abietinic acid."
"ABIETITE ","n."," A substance resembling mannite, found in the needles of the common silver fir of Europe (Abies pectinata)."
"ABIGAIL ","n."," A lady's waiting-maid."
"ABILIMENT ","n."," Habiliment."
"ABILITIES ","pl. "," of Ability"
"ABILITY ","n."," The quality or state of being able; power to perform, whether physical, moral, intellectual, conventional, or legal; capacity; skill or competence in doing; sufficiency of strength, skill, resources, etc.; -- in the plural, faculty, talent."
"ABIME ","n."," Alt. of Abyme"
"ABYME ","n."," A abyss."
"ABIOGENESIS ","n."," The supposed origination of living organisms from lifeless matter; such genesis as does not involve the action of living parents; spontaneous generation; -- called also abiogeny, and opposed to biogenesis."
"ABIOGENETIC ","a."," Of or pertaining to abiogenesis."
"ABIOGENIST ","n."," One who believes that life can be produced independently of antecedent."
"ABIOGENOUS ","a."," Produced by spontaneous generation."
"ABIOGENY ","n."," Same as Abiogenesis."
"ABIOLOGICAL ","a."," Pertaining to the study of inanimate things."
